web-scraper-order,web-scraper-start-url,name,location,bedroom,bathroom,garage,land_area,building_area,price
1716907211-42,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Dijual Rumah Bagus 2 Lantai di Menteng Kt,"Menteng, Jakarta Pusat",5,4,2,720 m²,550 m²,Rp 80 Miliar
1716907211-43,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Brandnew Luxurious Modern Classic Lokasi Premium,"Menteng, Jakarta Pusat",6,6,5,876 m²,1400 m²,Rp 90 Miliar
1716907211-44,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Rumah di gang jalan H. kran SHM kemayoran,"Kemayoran, Jakarta Pusat",2,1,,30 m²,60 m²,Rp 600 Juta
1716907211-45,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Rumah supermewah di Prestige area di Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",5,5,7,875 m²,1200 m²,Rp 100 Miliar
1716907211-46,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,"Rumah Jl. Cempaka Putih Raya Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",8,8,,447 m²,1020 m²,Rp 20 Miliar
1716907211-47,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,"Rumah Cempaka Putih Barat Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",4,3,,300 m²,200 m²,Rp 6 Miliar
1716907211-48,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Dijual Rumah Hitung Tanah Saja Di Cideng Dekat Tanah Abang,"Cideng, Jakarta Pusat",1,1,1,433 m²,1 m²,"Rp 15,5 Miliar"
1716907211-49,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Rumah Bagus Siap Huni Lokasi Bergengsi di Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",4,4,1,285 m²,400 m²,"Rp 29,5 Miliar"
1716907211-50,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Dijual Rumah Mewah Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",6,6,3,733 m²,1000 m²,Rp 45 Miliar
1716907211-51,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Rumah Dijual Lokasi Strategis Dekat Pusat Bisnis Tanah Abang,"Cideng, Jakarta Pusat",5,5,2,587 m²,337 m²,Rp 25 Miliar
1716907211-52,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,RUMAH MEWAH TURUN HARGA DI MENTENG,"Cikini, Jakarta Pusat",5,5,4,1195 m²,650 m²,Rp 55 Miliar
1716907211-53,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,DI JUAL RUMAH MENTENG JAKARTA PUSAT,"Menteng, Jakarta Pusat",5,5,1,323 m²,374 m²,Rp 23 Miliar
1716907211-54,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,"Cluster eksklusif strategis di Rawasari, percetakan negara jakarta Pusat.dekat ke pintu toll, dekat mall, dekat rumah sakit besar, dekat universitas besar, dekat stasiun, fasilitas umum.","Cempaka Putih, Jakarta Pusat",3,2,1,71 m²,24 m²,Rp 959 Juta
1716907211-55,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,"Di Jual Rumah Cempaka Putih, Furnish Da Vinci Siap Huni","Cempaka Putih, Jakarta Pusat",4,4,4,580 m²,600 m²,Rp 20 Miliar
1716907211-56,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,"Rumah Hoek, Strategis dan 1 Rumah Kontrakan di Jl Pengairan Benhil, Jakarta Pusat","Bendungan Hilir, Jakarta Pusat",7,2,1,194 m²,129 m²,"Rp 5,4 Miliar"
1716907211-57,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,"Rumah Brand New Mewah American Classic di Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",4,4,2,297 m²,412 m²,"Rp 10,9 Miliar"
1716907211-58,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Rumah Baru Strategis 2 Lantai Di Daerah Cempaka Putih,"Cempaka Putih, Jakarta Pusat",3,2,1,67 m²,78 m²,"Rp 2,55 Miliar"
1716907211-59,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Di  Rumah Tua Di Pusat Kota Jakarta Kawasan Sudirman Thamrin,"Thamrin, Jakarta Pusat",5,2,,90 m²,90 m²,"Rp 2,3 Miliar"
1716907211-60,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,Cikini Rumah Kos Ada 30 Kamar Dua Lantai Di Cikini Menteng Jakarta Pusat,"Cikini, Jakarta Pusat",30,17,2,385 m²,600 m²,"Rp 8,6 Miliar"
1716907215-61,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Rumah Secondary di  Matraman  Pegangsaan Menteng.Jakarta pusat,"Pegangsaan, Jakarta Pusat",4,3,1,100 m²,200 m²,"Rp 2,6 Miliar"
1716907215-62,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Rumah Tanjung Menteng Aman Asri Tenang,"Menteng, Jakarta Pusat",5,3,3,743 m²,500 m²,Rp 80 Miliar
1716907215-63,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Dijual Segera Rumah Di Menteng Jakarta Pusat,harga Dibawah Pasaran,lokasi Sangat Strategis","Menteng, Jakarta Pusat",,,,250 m²,,"Rp 33,5 Miliar"
1716907215-64,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Judul Rumah Pinggir Jalan Utama Penjernihan Jakarta Pusat B M,"Bendungan Hilir, Jakarta Pusat",10,6,,350 m²,550 m²,Rp 21 Miliar
1716907215-65,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Hunian Mewah 2 Lantai Dijual Lokasi Strategis di Premium Menteng,"Menteng, Jakarta Pusat",4,4,10,1220 m²,800 m²,Rp 170 Miliar
1716907215-66,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Jual Rumah Mewah Siap Huni, Menteng, Jakarta Pusat","Menteng, Jakarta Pusat",6,6,,733 m²,1100 m²,Rp 70 Miliar
1716907215-67,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Cepat rumah luas di Jl Surabaya Menteng,"Menteng, Jakarta Pusat",,,,750 m²,,Rp 120 Miliar
1716907215-68,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Rumah 2 Lantai Bagus Furnished SHM di Jl.pintu Air, Pasar Baru, Jakarta Pusat","Pasar Baru, Jakarta Pusat",2,2,1,90 m²,180 m²,"Rp 2,2 Miliar"
1716907215-69,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Prime area dekat Sarinah, lingkungan sangat nyaman & Tenang","Menteng, Jakarta Pusat",4,4,4,1189 m²,1050 m²,Rp 155 Miliar
1716907215-70,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Rumah Tua Hitung Tanah Harga Dibawah Pasaran Di Kemayoran,"Kemayoran, Jakarta Pusat",10,5,4,924 m²,410 m²,"Rp 16,9 Miliar"
1716907215-71,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,RUMAH LAMA TERAWAT DI  AREA MENTENG SANGAT STATEGIS DAN  UDARA SEJUK,"Menteng, Jakarta Pusat",4,5,,1110 m²,,Rp 90 Miliar
1716907215-72,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Rumah kos/tapak 2 lantai uk 7x23,"Gajah Mada, Jakarta Pusat",,,,200 m²,,"Rp 4,5 Miliar"
1716907215-73,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Rumah di Jual Area Cideng Harga Menarik ,shm Cocok Untuk Invest","Cideng, Jakarta Pusat",5,5,,587 m²,337 m²,Rp 25 Miliar
1716907215-74,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Rumah Mewah Strategis Area Benhil Penjompongan Jakarta Pusat,"Bendungan Hilir, Jakarta Pusat",,,,500 m²,,"Rp 13,5 Miliar"
1716907215-75,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,RUMAH MEWAH DI MENTENG JAKARTA PUSAT DIJUAL,"Menteng, Jakarta Pusat",,,,2000 m²,,Rp 80 Miliar
1716907215-76,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Dijual Rumah Kost Putri B U Senen, Jak Pus","Senen, Jakarta Pusat",15,13,2,271 m²,400 m²,Rp 5 Miliar
1716907215-77,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Rumah halaman besar di Cempaka Sari, Harapan Mulya, Kemayoran","Kemayoran, Jakarta Pusat",2,1,,315 m²,100 m²,"Rp 3,3 Miliar"
1716907215-78,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Rumah siap pakai 2 lantai di Cempaka Putih Barat,"Cempaka Putih, Jakarta Pusat",2,1,,98 m²,120 m²,"Rp 2,2 Miliar"
1716907215-79,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,"Rumah Hoek Pinggir jalan, strategis di Jl Pengairan Bendungan Hillir, Jakarta Pusat.","Bendungan Hilir, Jakarta Pusat",5,2,,200 m²,100 m²,"Rp 5,6 Miliar"
1716907215-80,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=820,Jual Rumah Dan Usaha Kos di Percetakan Jatinegara Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",11,5,2,258 m²,200 m²,"Rp 6,1 Miliar"
1716907219-81,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Dijual Rumah 2Lt.  Semi Furnished Lokasi Tengah Kota Jakarta,"Pejompongan, Jakarta Pusat",3,2,,119 m²,178 m²,"Rp 5,3 Miliar"
1716907219-82,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah Tua Di Sumur Batu 8x12 Meter 1,65 Milyar","Cempaka Putih, Jakarta Pusat",3,2,,104 m²,150 m²,"Rp 1,65 Miliar"
1716907219-83,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah Cempaka Putih Murah, Asri, Lingkungan Aman, 2 Mobil","Cempaka Putih, Jakarta Pusat",7,5,3,404 m²,520 m²,"Rp 8,6 Miliar"
1716907219-84,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Rumah Murah 2 Lantai Kemayoran Lt 106 M2 Harga Njop,"Cempaka Putih, Jakarta Pusat",5,4,1,106 m²,200 m²,"Rp 1,3 Miliar"
1716907219-85,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Rumah Murah Cempaka Putih Lt 120 M2 Cluster Mewah,"Cempaka Putih, Jakarta Pusat",5,5,2,120 m²,240 m²,"Rp 2,2 Miliar"
1716907219-86,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Rumah Tinggal Plus 3 Kamar Kost Di Benhil,"Bendungan Hilir, Jakarta Pusat",6,4,1,130 m²,300 m²,"Rp 5,2 Miliar"
1716907219-87,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah di Jalan Dwiwana Murah, Njop Dekat Stasiun Sawah Besar","Karang Anyar, Jakarta Pusat",5,5,1,246 m²,300 m²,"Rp 2,8 Miliar"
1716907219-88,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah baru siap huni di Percetakan Negara,Jakarta Pusat","Percetakan Negara, Jakarta Pusat",2,2,1,22 m²,44 m²,Rp 750 Juta
1716907219-89,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah Lt 181 M2 di Cempaka Putih Tengah , Jakarta Pusat Murah","Cempaka Putih, Jakarta Pusat",4,3,1,181 m²,244 m²,"Rp 7,2 Miliar"
1716907219-90,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah Cempaka Putih Barat, Luas 580m2","Cempaka Putih, Jakarta Pusat",4,4,,580 m²,600 m²,Rp 20 Miliar
1716907219-91,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Rumah Tua Hitung Tanah (JP),"Menteng, Jakarta Pusat",4,4,3,805 m²,500 m²,Rp 72 Miliar
1716907219-92,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah 3 Lantai Furnished, di Hos Cokroaminoto Menteng nv","Menteng, Jakarta Pusat",19,19,20,1663 m²,3200 m²,Rp 135 Miliar
1716907219-93,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Dijual Rumah Hook Strategis di Cempaka Putih (JP),"Cempaka Putih, Jakarta Pusat",6,6,1,580 m²,800 m²,Rp 16 Miliar
1716907219-94,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Hunian Asri Dan Nyaman di Cempaka Putih jp,"Cempaka Putih, Jakarta Pusat",4,3,,170 m²,250 m²,"Rp 3,8 Miliar"
1716907219-95,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Rumah Mewah Klasik Dikawasan Elit Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",9,9,1,925 m²,1585 m²,Rp 70 Miliar
1716907219-96,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah di Jl Kramat Kwitang Senen Jakarta Pusat Dki Jakarta,","Kramat, Jakarta Pusat",3,1,4,1090 m²,516 m²,Rp 28 Miliar
1716907219-97,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Jual di Bawah Njop Ruko + Rumah 2 In 1 Cideng Barat,"Cideng, Jakarta Pusat",2,2,,250 m²,500 m²,Rp 11 Miliar
1716907219-98,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Rumah di lokasi strategis bendungan hilir jakarta pusat,"Bendungan Hilir, Jakarta Pusat",6,4,1,130 m²,300 m²,"Rp 5,3 Miliar"
1716907219-99,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,Rumah Baru di Bangun Tinggal Finishing di Benhil Jakpus,"Bendungan Hilir, Jakarta Pusat",6,4,1,130 m²,300 m²,"Rp 5,3 Miliar"
1716907219-100,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=819,"Rumah Murah Bgt 2lt di Jl Murdai, Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",4,3,,210 m²,424 m²,"Rp 3,15 Miliar"
1716907228-101,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=817,Tawaran Terbatas Segera Hubungi Kami Dan Dapatkan Potongan Harga Menarik Untuk Rumah Siap Huni di Menteng,"Menteng, Jakarta Pusat",5,2,,689 m²,312 m²,"Rp 43,5 Miliar"
1716907228-102,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=817,Dijual Rumah Cempaka Putih Barat Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",4,4,4,580 m²,600 m²,Rp 20 Miliar
1716907228-103,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=817,Rumah Dan Kost Pinggir Jalan Dijual Jl. Samanhudi Jakarta Pusat,"Samanhudi, Jakarta Pusat",4,4,,529 m²,836 m²,Rp 39 Miliar
1716907228-104,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=817,"Rumah Cocok Untuk Hunian/usaha. Lokasi Sangat Strategis Dekat Jl. Suprapto. Alamat: Komp Cempaka Putih Permai, Cempaka Putih Tengah 2","Cempaka Putih, Jakarta Pusat",4,4,1,120 m²,160 m²,"Rp 2,5 Miliar"
1716907228-105,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=817,Dijual Rumah Cempaka Putih Barat Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",4,4,4,580 m²,600 m²,Rp 20 Miliar
1716907228-106,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=817,Rumah Kost 24 Kamar Area Kwitang Senen Strategis Good Invest return 8.5% sd 10% per tahun,"Senen, Jakarta Pusat",24,24,,260 m²,522 m²,"Rp 6,4 Miliar"
