web-scraper-order,web-scraper-start-url,name,location,bedroom,bathroom,garage,land_area,building_area,price
1716907203-1,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,2 UNIT RUMAH DAN 1 RUKO SANGAT CANTIK DAN SIAP HUNI DI SANGIHE JAKARTA PUSAT,"Cideng, Jakarta Pusat",9,10,,480 m²,400 m²,Rp 25 Miliar
1716907203-2,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,"Prime area Menteng, rumah 2 Lantai + Baswment kapasitas Parkir 10 + 2 Mobil","Menteng, Jakarta Pusat",12,10,2,870 m²,1400 m²,Rp 65 Miliar
1716907203-3,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,House For Sale Menteng Prime Area Jakarta Pusat,"Menteng, Jakarta Pusat",4,4,,450 m²,400 m²,Rp 30 Miliar
1716907203-4,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Prime area dekat RS. Abdi Waluyo Lokasi tenang & Nyaman,"Menteng, Jakarta Pusat",4,4,2,450 m²,400 m²,Rp 30 Miliar
1716907203-5,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,"For Sale Area Menteng Rumah Brand New Design Klasik Modern Area Tenang , Asri, Hub 0813 1838 1838","Menteng, Jakarta Pusat",5,5,2,864 m²,1200 m²,Rp 100 Miliar
1716907203-6,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Dijual Rumah Layak Huni cemara Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",3,2,,360 m²,200 m²,Rp 22 Miliar
1716907203-7,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,"Rumah Hitung Tanah Luas 700 m2, Kebon Sirih Jakarta Pusat. SHM","Kebon Sirih, Jakarta Pusat",6,5,,700 m²,500 m²,Rp 26 Miliar
1716907203-8,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,For Sale Luxurious Modern Classic Brand New House,"Menteng, Jakarta Pusat",8,7,,876 m²,1400 m²,Rp 100 Miliar
1716907203-9,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,RUMAH DI CEMPAKA PUTIH JAKARTA PUSAT,"Cempaka Putih, Jakarta Pusat",3,3,,74 m²,153 m²,"Rp 1,7 Miliar"
1716907203-10,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Rumah Baru Di Pramuka Sari Cempaka Putih,"Cempaka Putih, Jakarta Pusat",3,3,,67 m²,78 m²,"Rp 2,5 Miliar"
1716907203-11,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,HUNIAN MEWAH,"Bendungan Hilir, Jakarta Pusat",10,8,,160 m²,200 m²,"Rp 8,1 Miliar"
1716907203-12,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Dijual Cepat Rumah Bagus Menghadap Tenggara di Hayam Wuruk Jakpus,"Hayam Wuruk, Jakarta Pusat",3,2,,735 m²,735 m²,Rp 23 Miliar
1716907203-13,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Rumah Tinggal 2 Lantai di Petojo Sabangan Jakarta Pusat,"Petojo, Jakarta Pusat",5,2,,200 m²,150 m²,"Rp 7,9 Miliar"
1716907203-14,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,DIJUAL CEPAT Rumah Dan Kost Dalam Komplek Cempaka Putih,"Cempaka Putih, Jakarta Pusat",12,5,3,290 m²,330 m²,"Rp 6,2 Miliar"
1716907203-15,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Rumah 2 lantai di petojo letak strategis,"Petojo, Jakarta Pusat",4,4,2,300 m²,200 m²,"Rp 7,5 Miliar"
1716907203-16,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,"Jual Cepat Rumah Tua, Hitung Tanah Kawasan Elite Menteng, Jakpus","Menteng, Jakarta Pusat",1,1,,664 m²,664 m²,Rp 50 Miliar
1716907203-17,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Menteng Rumah Lokasi Terbaik Harga Murah Halaman Besar,"Menteng, Jakarta Pusat",4,4,1,450 m²,400 m²,"Rp 27,5 Miliar"
1716907203-18,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Dijual Rumah bisa untuk Usaha di Bendungan Hilir Jakarta Pusat,"Bendungan Hilir, Jakarta Pusat",3,2,,252 m²,252 m²,"Rp 9,9 Miliar"
1716907203-19,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,"cepat Rumah Klasik dan asri siap huni di Kusuma Atmaja, Menteng, Jakarta Pusat.","Menteng, Jakarta Pusat",6,6,8,829 m²,609 m²,Rp 70 Miliar
1716907203-20,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=823,Di Jual Rumah Minimalis Modern Di Cideng Jarang Ada,"Cideng, Jakarta Pusat",5,3,1,20 m²,7 m²,"Rp 6,5 Miliar"
1716907207-21,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Rumah Tinggal + Bengkel Di Daerah Rawasari Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",3,3,,331 m²,400 m²,"Rp 4,8 Miliar"
1716907207-22,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,"Ruang Usaha & Kost Kostan K1 Di Kramat, Jakarta Pusat","Kramat, Jakarta Pusat",13,6,,280 m²,300 m²,Rp 23 Miliar
1716907207-23,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,"Rumah Siap Huni Dekat Cideng Timur, Petojo Selatan, Gambir","Petojo, Jakarta Pusat",4,2,,,,"Rp 2,45 Miliar"
1716907207-24,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,"Rumah Lokasi Strategis Di Daerah Serdang, Kemayoran.","Kemayoran, Jakarta Pusat",3,2,,148 m²,100 m²,"Rp 3,4 Miliar"
1716907207-25,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,"Lokasi sangat strategis,  cepat","Menteng, Jakarta Pusat",6,4,,716 m²,556 m²,"Rp 42,5 Miliar"
1716907207-26,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Batu Tulis Rumah 3 lantai Siap Huni Tinggi dari Jalaná,"Batutulis, Jakarta Pusat",3,2,,92 m²,117 m²,"Rp 3,5 Miliar"
1716907207-27,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Dijual Rumah Mewah Menteng ada Swimming Pool,"Menteng, Jakarta Pusat",9,9,,925 m²,1585 m²,Rp 70 Miliar
1716907207-28,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Dijual Rumah Kos Cempaka Putih,"Cempaka Putih, Jakarta Pusat",21,21,,126 m²,378 m²,"Rp 5,1 Miliar"
1716907207-29,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,"Rumah Di Menteng, Jl Sumbawa Jakarta Pusat Prime Area Lt450m2 SHM","Menteng, Jakarta Pusat",5,5,2,450 m²,400 m²,Rp 30 Miliar
1716907207-30,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Dijual Rumah Mewah Gaya America Style Di Jl.cimahi Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",4,3,6,762 m²,800 m²,Rp 68 Miliar
1716907207-31,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Turun Harga Dijual Rumah Siap Huni Fully Furnished di Jl. Solo Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",4,4,2,285 m²,400 m²,Rp 26 Miliar
1716907207-32,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Dijual Rumah Luxurious Davinci full Furnished Di Cempaka Putih Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",4,4,3,580 m²,600 m²,Rp 20 Miliar
1716907207-33,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Rumah Lux Modern Full Furnished Plus S. Pool Cempaka Putih,"Cempaka Putih, Jakarta Pusat",4,4,4,580 m²,600 m²,Rp 20 Miliar
1716907207-34,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,#Rumah mewah Di jual Murah cempakah putih Ful Furnish  jakarta pusat,"Cempaka Putih, Jakarta Pusat",,,,600 m²,,Rp 20 Miliar
1716907207-35,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Jual Cepat Rumah Kost Aktif 13 Kamar Full Terisi,"Johar Baru, Jakarta Pusat",13,13,3,222 m²,323 m²,"Rp 3,9 Miliar"
1716907207-36,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,"Dijual Rumah Usaha Dekat Stasiun di Petamburan, Tanah Abang","Tanah Abang, Jakarta Pusat",4,2,2,370 m²,360 m²,"Rp 9,5 Miliar"
1716907207-37,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Rumah di Glodok Taman Sari SHM Butuh Renovasi,"Glodok, Jakarta Pusat",,,,142 m²,,"Rp 2,9 Miliar"
1716907207-38,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,RUMAH KOST PINTU AIR JAKARTA BARAT HARGA DIBAWAH NJOP,"Pasar Baru, Jakarta Pusat",10,4,,90 m²,180 m²,"Rp 2,2 Miliar"
1716907207-39,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,PRIME AREA - MENTENG,"Menteng, Jakarta Pusat",4,4,1,450 m²,400 m²,Rp 30 Miliar
1716907207-40,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=822,Rumah Tinggal + Bengkel Di Daerah Rawasari Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",3,3,,331 m²,400 m²,"Rp 4,8 Miliar"
1716907211-41,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=821,La.890 Dijual Cepat Rumah Bagus Siap Huni di Cempaka Putih,"Cempaka Putih, Jakarta Pusat",22,6,5,225 m²,495 m²,"Rp 17,5 Miliar"
