web-scraper-order,web-scraper-start-url,name,location,bedroom,bathroom,land_area,building_area,price
"1716935796-1","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Bagus Di Sindanglaya Menteng Jakarta Pusat","Menteng, Jakarta Pusat","12","4","LT947 m²","LB250 m²","Rp35 Miliar"
"1716935796-2","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Tumah tua jln Gereja ayam, Jakarta pusat","Sawah Besar, Jakarta Pusat","0","0","LT487 m²","LB248 m²","Rp20 Miliar"
"1716935796-3","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Murah Hitung Tanah di Cempaka Putih Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935796-4","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Menteng Area with classic models","Menteng, Jakarta Pusat","0","0","LT590 m²","LB900 m²","Rp45 Miliar"
"1716935796-5","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Kos Ekslusif Penuh di Tanah Abang","Tanah Abang, Jakarta Pusat","32","32","LT106 m²","LB506 m²","Rp12,7 Miliar"
"1716935796-6","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","DIJUAL RUMAH 2 LANTAI BAGUS ,KOTA JAKARTA PUSAT DAERAH MENTENG","Menteng, Jakarta Pusat","5","5","LT323 m²","LB374 m²","Rp23 Miliar"
"1716935796-7","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Jual Cepat Rumah Murah Banting Harga di Menteng Kota Jakarta Pusat","Menteng, Jakarta Pusat","4","3","LT795 m²","LB1000 m²","Rp38 Miliar"
"1716935796-8","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Lokasi Strategis di Kemayoran S4809","Kemayoran, Jakarta Pusat","3","2","LT289 m²","LB298 m²","Rp7 Miliar"
"1716935796-9","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Hook Lokasi Strategis di Cempaka Putih S4726","Cempaka Putih, Jakarta Pusat","5","2","LT225 m²","LB185 m²","Rp4,5 Miliar"
"1716935796-10","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Hoek Bebas Banjir di Cempaka Putih S4866","Cempaka Putih, Jakarta Pusat","4","4","LT428 m²","LB270 m²","Rp7 Miliar"
"1716935796-11","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Siap Huni Di Kramat Sentiong Jakarta Pusat","Cempaka Putih, Jakarta Pusat","3","2","LT91 m²","LB67 m²","Rp2,8 Miliar"
"1716935796-12","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Dijual Di Menteng-Proklamasi, Area Komersil","Menteng, Jakarta Pusat","6","3","LT646 m²","LB455 m²","Rp30 Miliar"
"1716935796-13","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Jual Cepat Rumah Cempaka Putih Tengah, Hanya Hitung Harga Tanah","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,6 Miliar"
"1716935796-14","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Turun Harga Rumah Di Menteng Jakarta Pusat","Menteng, Jakarta Pusat","3","3","LT291 m²","LB194 m²","Rp19 Miliar"
"1716935796-15","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Jual Senen Jakarta Pusat","Senen, Jakarta Pusat","10","3","LT595 m²","LB400 m²","Rp17,5 Miliar"
"1716935796-16","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Di Daerah Kemayoran Jakarta Pusat","Kemayoran, Jakarta Pusat","2","3","LT265 m²","LB150 m²","Rp2,85 Miliar"
"1716935796-17","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Menteng Rumah Mewah Siap Huni Lokasi Tenang Strategis","Menteng, Jakarta Pusat","7","8","LT733 m²","LB548 m²","Rp56 Miliar"
"1716935796-18","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Siap Huni Di Kramat Sentiong Jakarta Pusat","Johar Baru, Jakarta Pusat","3","2","LT91 m²","LB67 m²","Rp2,8 Miliar"
"1716935796-19","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah di Cempaka Putih Hitung Tanah Saja","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935796-20","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah di Cempaka Putih 3 Lantai SHM Baru","Cempaka Putih, Jakarta Pusat","5","5","LT144 m²","LB350 m²","Rp5,5 Miliar"
"1716935802-21","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Dijual Rumah di kramat Kwitang Senen Jakarta Pusat","Senen, Jakarta Pusat","7","3","LT595 m²","LB400 m²","Rp17,5 Miliar"
"1716935802-22","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah di Cempaka Putih 2 Lantai SHM Bagus","Cempaka Putih, Jakarta Pusat","5","8","LT1050 m²","LB1500 m²","Rp36 Miliar"
"1716935802-23","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah di Cempaka Putih 2 Lantai SHM Bagus Barat Laut","Cempaka Putih, Jakarta Pusat","4","5","LT181 m²","LB244 m²","Rp7,2 Miliar"
"1716935802-24","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah di Cempaka Putih SHM Bagus Jakarta Pusat","Cempaka Putih, Jakarta Pusat","0","0","LT513 m²","LB271 m²","Rp11,2 Miliar"
"1716935802-25","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah di Cempaka Putih 2 Lantai SHM Sudah Renov","Cempaka Putih, Jakarta Pusat","3","3","LT250 m²","LB350 m²","Rp6 Miliar"
"1716935802-26","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","cempaka putih rawasari siap huni dkt mall green pramuka strategis ekonomis segera","Cempaka Putih, Jakarta Pusat","10","7","LT160 m²","LB250 m²","Rp3,5 Miliar"
"1716935802-27","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Imam Bonjol Menteng","Menteng, Jakarta Pusat","4","4","LT1500 m²","LB1500 m²","Rp300 Miliar"
"1716935802-28","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Kos Kosan di Lokasi Harmoni Jakarta Pusat","Jakarta Pusat, Jakarta","23","8","LT94 m²","LB450 m²","Rp6,95 Miliar"
"1716935802-29","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Baru  di Cempaka putih SHM Tidak Banjir","Cempaka Putih, Jakarta Pusat","5","5","LT842 m²","LB1000 m²","Rp29,5 Miliar"
"1716935802-30","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Bagus Cempaka Putih - dekat Pintu Tol, Transmart, ITC","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935802-31","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah di Cempaka Putih SHM Bagus Itung Tanah 305","Cempaka Putih, Jakarta Pusat","0","0","LT305 m²","LB300 m²","Rp5,4 Miliar"
"1716935802-32","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Dijual Rumah Kos siap Huni","Cempaka Putih, Jakarta Pusat","8","5","LT282 m²","LB350 m²","Rp6,1 Miliar"
"1716935802-33","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","rumah premium area premium cempaka putih","Cempaka Putih, Jakarta Pusat","6","4","LT225 m²","LB200 m²","Rp5 Miliar"
"1716935802-34","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Menteng Jakpus","Menteng, Jakarta Pusat","5","5","LT323 m²","LB374 m²","Rp23 Miliar"
"1716935802-35","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Cokro Menteng","Menteng, Jakarta Pusat","4","4","LT611 m²","LB700 m²","Rp55 Miliar"
"1716935802-36","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Brand New Luxurious House Furnished W pool At Prime Area Menteng","Menteng, Jakarta Pusat","4","4","LT474 m²","LB1388 m²","Rp67 Miliar"
"1716935802-37","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Dijual Cocok Untuk Usaha Dan Kos² An","Kemayoran, Jakarta Pusat","20","10","LT680 m²","LB1500 m²","Rp12 Miliar"
"1716935802-38","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah di Cempaka Putih SHM Bagus IMB bisa C1","Cempaka Putih, Jakarta Pusat","0","0","LT404 m²","LB300 m²","Rp9,5 Miliar"
"1716935802-39","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Kos-kosan brand new  super strategis di Jakarta Pusat, ROI 90%,  2 menit ke Halte Harmoni, good invest!","Gambir, Jakarta Pusat","23","8","LT94 m²","LB450 m²","Rp6,95 Miliar"
"1716935802-40","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=499&urut=2","Rumah Cempaka Putih Barat, Luas 128m2, Bebas Banjir, Dpn Kantor Kelurahan","Cempaka Putih, Jakarta Pusat","0","0","LT128 m²","LB128 m²","Rp2,68 Miliar"
"1716935815-41","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","cepat BU termurah rumah lama di Cempaka Putih Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,55 Miliar"
"1716935815-42","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","BAGUS Rumah Lokasi Strategis Luas Tanah 650an Daerah Menteng Jakarta Pusat Hub: 0817 0120 xxxx","Menteng, Jakarta Pusat","7","7","LT650 m²","LB1500 m²","Rp38 Miliar"
"1716935815-43","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","CEPAT Harga *BU Rumah Hitung Tanah Saja Cempaka Putih Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,5 Miliar"
"1716935815-44","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Cepat 3 Rumah Jadi 1 Lokasi Premium Menteng","Menteng, Jakarta Pusat","13","13","LT860 m²","LB1600 m²","Rp65 Miliar"
"1716935815-45","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Jual Rumah Menteng Siap Huni Lokasi Sangat Strategis","Menteng, Jakarta Pusat","5","5","LT323 m²","LB374 m²","Rp23,5 Miliar"
"1716935815-46","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual rumah Vintage gaya Kolonial","Senen, Jakarta Pusat","7","3","LT595 m²","LB400 m²","Rp17,5 Miliar"
"1716935815-47","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Rumah Hitung Tanah Cempaka Putih Tengah Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935815-48","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Rumah Cempaka Putih Tengah Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935815-49","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Rumah Minimalis Cempaka Putih Shm Bagus Row Jalan 3 Mobil Lewat","Cempaka Putih, Jakarta Pusat","4","5","LT300 m²","LB300 m²","Rp11,9 Miliar"
"1716935815-50","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Hunian Rumah Tinggal Menteng Harga Di Bawah Njop","Menteng, Jakarta Pusat","5","5","LT323 m²","LB374 m²","Rp23,5 Miliar"
"1716935815-51","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Rumah Hitung Tanah Cempaka Putih Tengah Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935815-52","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Rumah Mewah Brand New American Klasik Di Cempaka Putih Jakpus","Cempaka Putih, Jakarta Pusat","5","5","LT842 m²","LB1000 m²","Rp30 Miliar"
"1716935815-53","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Rumah Di Jl Cempaka Putih Timur Jakarta Pusat","Cempaka Putih, Jakarta Pusat","6","3","LT533 m²","LB341 m²","Rp10,6 Miliar"
"1716935815-54","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Rumah Jl Subang Menteng Jakarta Pusat 2 Lantai","Menteng, Jakarta Pusat","4","4","LT660 m²","LB800 m²","Rp39 Miliar"
"1716935815-55","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Rumah Bagus Dan Terawat Di Daerah Cempaka Putih Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935815-56","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Kost Baru Roi Tinggi 9 10 Per Tahun di Harmoni, Jakarta Pusat","Jakarta Pusat","23","8","LT94 m²","LB450 m²","Rp6,95 Miliar"
"1716935815-57","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Rumah Luas di Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat","10","8","LT1128 m²","LB500 m²","Rp20 Miliar"
"1716935815-58","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Rumah Strategis Jakpus","Senen, Jakarta Pusat","7","3","LT595 m²","LB400 m²","Rp17,5 Miliar"
"1716935815-59","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","Dijual Rumah Untuk Usaha di Jl Batu Ceper Gambir","Gambir, Jakarta Pusat","1","1","LT400 m²","LB400 m²","Rp20 Miliar"
"1716935815-60","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=498&urut=2","#Di jual cepat rumah kemayoran  dalam Cluster  BU jakarta pusat","Kemayoran, Jakarta Pusat","0","0","LT23 m²","LB60 m²","Rp1,95 Miliar"
"1716935829-61","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","RUMAH  MENTENG ~ LT/LB 750/1000 ~ DEPAN TAMAN","Menteng, Jakarta Pusat","5","4","LT650 m²","LB1000 m²","Rp42 Miliar"
"1716935829-62","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","DIJUAL RUMAH MENTENG ~ LT/LB 685/800 ~ LOKASI PREMIUM RING 1","Menteng, Jakarta Pusat","9","5","LT685 m²","LB800 m²","Rp54 Miliar"
"1716935829-63","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah Kost Mewah Cempaka Putih 4 Lantai SHM Bagus Selatan","Cempaka Putih, Jakarta Pusat","48","48","LT378 m²","LB576 m²","Rp23 Miliar"
"1716935829-64","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","DIJUAL RUMAH MENTENG - CENDANA ~ LT/LB 1405/1200 ~ LOKASI ELITE ~ JARANG ADA!","Menteng, Jakarta Pusat","5","5","LT1405 m²","LB1200 m²","Rp140 Miliar"
"1716935829-65","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah Siap Huni Di Kramat Sentiong Jakarta Pusat","Cempaka Putih, Jakarta Pusat","3","2","LT91 m²","LB67 m²","Rp2,8 Miliar"
"1716935829-66","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","RUMAH  CEMPAKA PUTIH ~ LT/LB 842/1000 ~ BRAND NEW HOUSE ~ MODERN CLASSIC DESIGN","Cempaka Putih, Jakarta Pusat","5","5","LT842 m²","LB1000 m²","Rp32 Miliar"
"1716935829-67","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Dijual Rumah Baru di Menteng, Jakarta Pusat","Menteng, Jakarta Pusat","4","4","LT474 m²","LB1388 m²","Rp67 Miliar"
"1716935829-68","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","RUMAH  MENTENG ~ LT/LB 450/400 ~ PRIME AREA DEKAT SUDIRMAN ~ TURUN HARGA HANYA 62 JUTA/ M2","Menteng, Jakarta Pusat","4","4","LT450 m²","LB400 m²","Rp27,5 Miliar"
"1716935829-69","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","RUMAH  MENTENG ~ LT/LB 876/1400 ~ BRAND NEW ~ LUXURIOUS MODERN CLASSIC ~ PRIME AREA","Menteng, Jakarta Pusat","6","6","LT876 m²","LB1400 m²","Rp100 Miliar"
"1716935829-70","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","RUMAH MENTENG ~ LT/LB 958/800 ~ RUMAH MEWAH DAN NYAMAN","Menteng, Jakarta Pusat","4","4","LT958 m²","LB800 m²","Rp75 Miliar"
"1716935829-71","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah Menteng Lt lb 870 1xxxxModern Classic Prime Area","Menteng, Jakarta Pusat","12","10","LT870 m²","LB1400 m²","Rp65 Miliar"
"1716935829-72","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Dijual Rumah Kost 2 Lantai SHM Bagus Listrik Token","Cempaka Putih, Jakarta Pusat","11","11","LT127 m²","LB197 m²","Rp3,5 Miliar"
"1716935829-73","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","johar baru siap huni strategis hitung tanah sangat ekonomis","Johar Baru, Jakarta Pusat","6","5","LT390 m²","LB260 m²","Rp4,75 Miliar"
"1716935829-74","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah di Cempaka Putih SHM Bagus Hadap Barat","Cempaka Putih, Jakarta Pusat","3","4","LT295 m²","LB200 m²","Rp9 Miliar"
"1716935829-75","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","rumah siap huni dkt kantor BPOM dan pasar johar baru ekonomis","Johar Baru, Jakarta Pusat","3","2","LT105 m²","LB80 m²","Rp2,1 Miliar"
"1716935829-76","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah Diponegoro Menteng Tanah Persegi Jarang Ada Area Premium Limited","Menteng, Jakarta Pusat","3","3","LT1626 m²","LB200 m²","Rp250 Miliar"
"1716935829-77","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","cempaka putih, layak huni ekonomis strategis dkt mall green pramuka","Cempaka Putih, Jakarta Pusat","4","1","LT132 m²","LB100 m²","Rp2,1 Miliar"
"1716935829-78","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah Jual Cepat Hitung Tanah Lokasi Prime Menteng, Jakarta Pusat","Menteng, Jakarta Pusat","5","4","LT1300 m²","LB900 m²","Rp149 Miliar"
"1716935829-79","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah Minangkabau Dalam Menteng For Sale","Menteng, Jakarta Pusat","5","2","LT298 m²","LB175 m²","Rp4 Miliar"
"1716935829-80","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=497&urut=2","Rumah 2 Lantai Bagus Semi Furnished SHM Menteng Jakarta Hny","Menteng, Jakarta Pusat","8","11","LT555 m²","LB800 m²","Rp19 Miliar"
"1716935835-81","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Menteng","Menteng, Jakarta Pusat","4","3","LT840 m²","LB800 m²","Rp50 Miliar"
"1716935835-82","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Murahh Dibawah NJOP Rumah Tua Hitung Tanah Zona Komersial di Tanah Abang Jakarta Pusat","Tanah Abang, Jakarta Pusat","0","0","LT240 m²","LB298 m²","Rp7 Miliar"
"1716935835-83","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Rumah Mewah Harga Rp1,3Man di Cempaka putih tengah Jakarta pusat","Cempaka Putih, Jakarta Pusat","3","3","LT39 m²","LB77 m²","Rp1,36 Miliar"
"1716935835-84","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Jual Rumah Martapura Jakarta Pusat, 868m2 , Rp 47m","Tanah Abang, Jakarta Pusat","3","2","LT868 m²","LB450 m²","Rp47 Miliar"
"1716935835-85","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Rumah di cempaka putih","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935835-86","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Dijual Rumah Induk dan 11 Kamar Kost Percetakan Negara JAK PUS","Cempaka Putih, Jakarta Pusat","13","6","LT258 m²","LB300 m²","Rp5,7 Miliar"
"1716935835-87","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Rumah Mewah 3Lantai Dekat Mall Atrium Senen Jakarta Pusat","Senen, Jakarta Pusat","3","2","LT22 m²","LB71 m²","Rp950 Juta"
"1716935835-88","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Di rumah mewah 2 lantai akses mobil di jakarta pusat","Cempaka Putih, Jakarta Pusat","3","3","LT32 m²","LB62 m²","Rp1,4 Miliar"
"1716935835-89","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Rumah Dijual Utama dan 11 Kamar Kost, Di Percetakan Negara Jakarta pusat","Percetakan Negara, Cempaka Putih, Jakarta Pusat","2","2","LT258 m²","LB300 m²","Rp5,7 Miliar"
"1716935835-90","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Dijual Cepat Rumah Daerah Cempaka Putih Dekat Kemana Mana","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,6 Miliar"
"1716935835-91","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Jual Rumah Siap Huni Lingkungan Asri Di Menteng","Menteng, Jakarta Pusat","9","7","LT685 m²","LB800 m²","Rp55 Miliar"
"1716935835-92","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Jual Rumah Hitung Tanah Lokasi Asri di Menteng","Menteng, Jakarta Pusat","4","4","LT657 m²","LB400 m²","Rp42,5 Miliar"
"1716935835-93","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Rumah Menteng Pinggir Jalan Strategis Cocok Utk Usaha Atau Kantor","Menteng, Jakarta Pusat","0","4","LT611 m²","LB750 m²","Rp55 Miliar"
"1716935835-94","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Turun Harga Dijual Rumah Menteng Bagus Posisi Hoek Parkir Luas","Menteng, Jakarta Pusat","4","2","LT909 m²","LB400 m²","Rp50 Miliar"
"1716935835-95","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Rumah Eksklusif 2 Lantai Lokasi Super Strategis Salemba Jakarta pusat","Johar Baru, Jakarta Pusat","2","2","LT38 m²","LB65 m²","Rp980 Juta"
"1716935835-96","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Dijual Rumah Hitung tanah di Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935835-97","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","Dijual Cepat Rumah Terawat Siap Huni Area Komersil Di Pejompongan Benhil Jakarta Pusat Pinggir Jalan Raya, Akses Strategis Ramai, Cocok Untuk Cafe Atau Kantor Atau Komersil Di Pejompongan Benhill Jakarta Pusat","Jakarta Pusat, Jakarta","5","4","LT453 m²","LB298 m²","Rp20 Miliar"
"1716935835-98","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","RUMAH DIJUAL MENTENG ~ LUAS 654 M2 ~ BANGUNAN TUA ~ PRIME AREA","Menteng, Jakarta Pusat","2","2","LT654 m²","LB200 m²","Rp42,5 Miliar"
"1716935835-99","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","DIJUAL RUMAH MENTENG ~ LT/LB 395/788 ~ BRAND BEW HOUSE ~ MODERN MINIMALIST","Menteng, Jakarta Pusat","5","4","LT395 m²","LB788 m²","Rp33 Miliar"
"1716935835-100","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=496&urut=2","RUMAH  MENTENG ~ LT/LB 265/400 ~ PRIME AREA","Menteng, Jakarta Pusat","4","4","LT265 m²","LB400 m²","Rp22,5 Miliar"
"1716935839-101","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Rumah Mewah Brand New American Klasik Di Cempaka Putih Jakpus","Cempaka Putih, Jakarta Pusat","5","5","LT842 m²","LB1000 m²","Rp30 Miliar"
"1716935839-102","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Dijual Cepat Rumah di Sawah Besar Kota Jakpus","Sawah Besar, Jakarta Pusat","3","2","LT119 m²","LB98 m²","Rp1,35 Miliar"
"1716935839-103","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Rumah 2 Lantai SHM Cempaka Putih Rawasari Bagus","Cempaka Putih, Jakarta Pusat","5","4","LT232 m²","LB400 m²","Rp4,95 Miliar"
"1716935839-104","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","BRAND NEW BEAUTIFUL & BIG HOUSE AT SENOPATI, JAKARTA SELATAN","Menteng, Jakarta Pusat","4","4","LT328 m²","LB571 m²","Rp42 Miliar"
"1716935839-105","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Rumah Asri Nyaman siap pakai di Tengah kota Cempaka putih Jakarta pusat","Cempaka Putih, Jakarta Pusat","0","0","LT325 m²","LB248 m²","Rp12 Miliar"
"1716935839-106","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Rumah siap huni hadap Utara lokasi strategis di Gajah Mada","Jakarta Pusat, Jakarta","2","1","LT126 m²","LB126 m²","Rp2,85 Miliar"
"1716935839-107","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Rumah Di Daerah Elit Menteng Jakarta Selatan S6932","Menteng, Jakarta Pusat","9","9","LT925 m²","LB1585 m²","Rp70 Miliar"
"1716935839-108","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Rumah 2 Lantai SHM Bagus Hadap Tenggara Jakarta Pusat","Cempaka Putih, Jakarta Pusat","4","2","LT431 m²","LB350 m²","Rp7,85 Miliar"
"1716935839-109","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=495&urut=2","Rumah Lama Bagus dan Murah di Menteng, Jakarta Pusat","Menteng, Jakarta Pusat","8","5","LT555 m²","LB600 m²","Rp19 Miliar"
